age,workclass,educational-num,occupation,gender,capital-gain,capital-loss,hours-per-week,native-country,income,race_Amer-Indian-Eskimo,race_Asian-Pac-Islander,race_Black,race_Other,race_White
25.0,Private,7.0,Machine-op-inspct,1,0.0,0,40.0,1,0,0.0,0.0,1.0,0.0,0.0
38.0,Private,9.0,Farming-fishing,1,0.0,0,50.0,1,0,0.0,0.0,0.0,0.0,1.0
28.0,Local-gov,12.0,Protective-serv,1,0.0,0,40.0,1,1,0.0,0.0,0.0,0.0,1.0
44.0,Private,10.0,Machine-op-inspct,1,7688.0,0,40.0,1,1,0.0,0.0,1.0,0.0,0.0
18.0,Private,10.0,Priv-house-serv,0,0.0,0,30.0,1,0,0.0,0.0,0.0,0.0,1.0
34.0,Private,6.0,Other-service,1,0.0,0,30.0,1,0,0.0,0.0,0.0,0.0,1.0
29.0,Private,9.0,Other-service,1,0.0,0,40.0,1,0,0.0,0.0,1.0,0.0,0.0
63.0,Self-emp-not-inc,15.0,Prof-specialty,1,3103.0,0,32.0,1,1,0.0,0.0,0.0,0.0,1.0
24.0,Private,10.0,Other-service,0,0.0,0,40.0,1,0,0.0,0.0,0.0,0.0,1.0
55.0,Private,4.0,Craft-repair,1,0.0,0,10.0,1,0,0.0,0.0,0.0,0.0,1.0
65.0,Private,9.0,Machine-op-inspct,1,6418.0,0,40.0,1,1,0.0,0.0,0.0,0.0,1.0
36.0,Federal-gov,13.0,Adm-clerical,1,0.0,0,40.0,1,0,0.0,0.0,0.0,0.0,1.0
26.0,Private,9.0,Adm-clerical,0,0.0,0,39.0,1,0,0.0,0.0,0.0,0.0,1.0
58.0,Private,9.0,Farming-fishing,1,0.0,0,35.0,1,0,0.0,0.0,0.0,0.0,1.0
48.0,Private,9.0,Machine-op-inspct,1,3103.0,0,48.0,1,1,0.0,0.0,0.0,0.0,1.0
43.0,Private,14.0,Exec-managerial,1,0.0,0,50.0,1,1,0.0,0.0,0.0,0.0,1.0
20.0,State-gov,10.0,Other-service,1,0.0,0,25.0,1,0,0.0,0.0,0.0,0.0,1.0
43.0,Private,9.0,Adm-clerical,0,0.0,0,30.0,1,0,0.0,0.0,0.0,0.0,1.0
37.0,Private,9.0,Machine-op-inspct,0,0.0,0,20.0,1,0,0.0,0.0,0.0,0.0,1.0
40.0,Private,16.0,Prof-specialty,1,0.0,0,45.0,0,1,0.0,1.0,0.0,0.0,0.0
34.0,Private,13.0,Tech-support,1,0.0,0,47.0,1,1,0.0,0.0,0.0,0.0,1.0
34.0,Private,10.0,Other-service,0,0.0,0,35.0,1,0,0.0,0.0,1.0,0.0,0.0
72.0,Private,4.0,Nothing ,0,0.0,0,6.0,1,0,0.0,0.0,0.0,0.0,1.0
25.0,Private,13.0,Prof-specialty,1,0.0,0,43.0,0,0,0.0,0.0,0.0,0.0,1.0
25.0,Private,13.0,Prof-specialty,1,0.0,0,40.0,1,0,0.0,0.0,0.0,0.0,1.0
45.0,Self-emp-not-inc,9.0,Craft-repair,1,7298.000000000001,0,90.0,1,1,0.0,0.0,0.0,0.0,1.0
22.0,Private,9.0,Adm-clerical,1,0.0,0,20.0,1,0,0.0,0.0,0.0,0.0,1.0
23.0,Private,9.0,Machine-op-inspct,1,0.0,0,54.0,1,0,0.0,0.0,1.0,0.0,0.0
54.0,Private,9.0,Craft-repair,1,0.0,0,35.0,1,0,0.0,0.0,0.0,0.0,1.0
32.0,Self-emp-not-inc,10.0,Prof-specialty,1,0.0,0,60.0,1,0,0.0,0.0,0.0,0.0,1.0
46.0,State-gov,10.0,Exec-managerial,1,7688.0,0,38.0,1,1,0.0,0.0,1.0,0.0,0.0
56.0,Self-emp-not-inc,7.0,Other-service,0,0.0,0,50.0,1,0,0.0,0.0,0.0,0.0,1.0
24.0,Self-emp-not-inc,13.0,Sales,1,0.0,0,50.0,1,0,0.0,0.0,0.0,0.0,1.0
23.0,Local-gov,10.0,Protective-serv,1,0.0,0,40.0,1,0,0.0,0.0,0.0,0.0,1.0
26.0,Private,9.0,Exec-managerial,0,0.0,0,40.0,1,0,0.0,0.0,0.0,0.0,1.0
65.0,Private,9.0,Machine-op-inspct,1,0.0,0,40.0,1,0,0.0,0.0,0.0,0.0,1.0
36.0,Local-gov,13.0,Prof-specialty,1,0.0,0,40.0,1,1,0.0,0.0,0.0,0.0,1.0
22.0,Private,3.0,Priv-house-serv,1,0.0,0,50.0,0,0,0.0,0.0,0.0,0.0,1.0
17.0,Private,6.0,Machine-op-inspct,1,0.0,0,40.0,1,0,0.0,0.0,0.0,0.0,1.0
20.0,Private,9.0,Craft-repair,1,0.0,0,40.0,1,0,0.0,0.0,0.0,0.0,1.0
65.0,Private,14.0,Prof-specialty,1,0.0,0,50.0,1,1,0.0,0.0,0.0,0.0,1.0
44.0,Self-emp-inc,11.0,Sales,1,0.0,0,45.0,1,1,0.0,0.0,0.0,0.0,1.0
36.0,Private,9.0,Farming-fishing,1,0.0,0,40.0,1,0,0.0,0.0,0.0,0.0,1.0
29.0,Private,7.0,Other-service,1,0.0,0,40.0,1,0,0.0,0.0,0.0,0.0,1.0
