Trial no,Scaling_Method,Accuracy,Precision,F1,Recall
100,No Scaling,0.8283364866831611,0.8205824131519543,0.8089759786308675,0.8283364866831611
100,MaxAbsScaler,0.796827244942512,0.8270477681984998,0.7384263246316084,0.796827244942512
100,StandardScaler,0.8173482753602096,0.8150747537931602,0.7867705654379327,0.8173482753602096
100,MinMaxScaler,0.8119633241158493,0.8098361034298744,0.7777897605449825,0.8119633241158493
100,RobustScaler,0.8180032018629021,0.8205389886024552,0.7848514446058674,0.8180032018629021
100,QuantileTransformer (Uniform),0.796827244942512,0.8270477681984998,0.7384263246316084,0.796827244942512
100,QuantileTransformer (Normal),0.8233881531072624,0.8194438965116367,0.7975869274859413,0.8233881531072624
200,No Scaling,0.8343035948188037,0.8255924997835281,0.8199440970767254,0.8343035948188037
200,MaxAbsScaler,0.796827244942512,0.8270477681984998,0.7384263246316084,0.796827244942512
200,StandardScaler,0.8177848930286712,0.8170367235973428,0.7864580619206155,0.8177848930286712
200,MinMaxScaler,0.8134914859554649,0.8122276300742793,0.7797766135957566,0.8134914859554649
200,RobustScaler,0.8182215106971329,0.8205134670260363,0.7853365201424534,0.8182215106971329
200,QuantileTransformer (Uniform),0.796827244942512,0.8270477681984998,0.7384263246316084,0.796827244942512
200,QuantileTransformer (Normal),0.8233881531072624,0.8194438965116367,0.7975869274859413,0.8233881531072624
300,No Scaling,0.8343035948188037,0.8255924997835281,0.8199440970767254,0.8343035948188037
300,MaxAbsScaler,0.79893756367341,0.7872288973486579,0.7622009279884304,0.79893756367341
300,StandardScaler,0.8177848930286712,0.8170367235973428,0.7864580619206155,0.8177848930286712
300,MinMaxScaler,0.815601804686363,0.8147250899093618,0.7830028672399979,0.815601804686363
300,RobustScaler,0.8182215106971329,0.8205134670260363,0.7853365201424534,0.8182215106971329
300,QuantileTransformer (Uniform),0.79893756367341,0.7872288973486579,0.7622009279884304,0.79893756367341
300,QuantileTransformer (Normal),0.8255712414495706,0.8213698756473766,0.8011716446360313,0.8255712414495706
400,No Scaling,0.8343035948188037,0.8255924997835281,0.8199440970767254,0.8343035948188037
400,MaxAbsScaler,0.79893756367341,0.7872288973486579,0.7622009279884304,0.79893756367341
400,StandardScaler,0.8190219764226458,0.8206277298379122,0.7870029965945942,0.8190219764226458
400,MinMaxScaler,0.8157473439091836,0.8148958132961501,0.783224349123995,0.8157473439091836
400,RobustScaler,0.8182215106971329,0.8205134670260363,0.7853365201424534,0.8182215106971329
400,QuantileTransformer (Uniform),0.79893756367341,0.7872288973486579,0.7622009279884304,0.79893756367341
400,QuantileTransformer (Normal),0.8255712414495706,0.8213698756473766,0.8011716446360313,0.8255712414495706
500,No Scaling,0.8343035948188037,0.8255924997835281,0.8199440970767254,0.8343035948188037
500,MaxAbsScaler,0.8070877601513607,0.8244191871258173,0.7603463630417662,0.8070877601513607
500,StandardScaler,0.8190219764226458,0.8206277298379122,0.7870029965945942,0.8190219764226458
500,MinMaxScaler,0.8159656527434144,0.8139453764589846,0.784350682562668,0.8159656527434144
500,RobustScaler,0.8182215106971329,0.8205134670260363,0.7853365201424534,0.8182215106971329
500,QuantileTransformer (Uniform),0.8070877601513607,0.8244191871258173,0.7603463630417662,0.8070877601513607
500,QuantileTransformer (Normal),0.8255712414495706,0.8213698756473766,0.8011716446360313,0.8255712414495706
600,No Scaling,0.8343035948188037,0.8255924997835281,0.8199440970767254,0.8343035948188037
600,MaxAbsScaler,0.8070877601513607,0.8244191871258173,0.7603463630417662,0.8070877601513607
600,StandardScaler,0.8199679813709795,0.8148847154118525,0.793119517301723,0.8199679813709795
600,MinMaxScaler,0.8163295008004657,0.8144466487203876,0.7848507011511398,0.8163295008004657
600,RobustScaler,0.8182215106971329,0.8205134670260363,0.7853365201424534,0.8182215106971329
600,QuantileTransformer (Uniform),0.8070877601513607,0.8244191871258173,0.7603463630417662,0.8070877601513607
600,QuantileTransformer (Normal),0.8265900160093145,0.8224784305991226,0.8026585974922036,0.8265900160093145
