Trial no,Scaling_Method,Accuracy,Precision,F1,Recall,Best Params
100,No Scaling,0.8510885142974135,0.8436307203368945,0.8401206068297147,0.8510885142974135,"{'n_estimators': 350, 'criterion': 'entropy', 'max_depth': 40, 'min_samples_split': 5, 'min_samples_leaf': 5, 'max_features': 'log2', 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
100,MaxAbsScaler,0.835733296935781,0.8265887971539078,0.8188905268097465,0.835733296935781,"{'n_estimators': 350, 'criterion': 'entropy', 'max_depth': 17, 'min_samples_split': 12, 'min_samples_leaf': 3, 'max_features': None, 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
100,StandardScaler,0.8424895925748993,0.833325652031719,0.8329083777778662,0.8424895925748993,"{'n_estimators': 350, 'criterion': 'entropy', 'max_depth': 17, 'min_samples_split': 12, 'min_samples_leaf': 3, 'max_features': None, 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
100,MinMaxScaler,0.8358697877567733,0.8267139321932675,0.8191367124631808,0.8358697877567733,"{'n_estimators': 350, 'criterion': 'entropy', 'max_depth': 17, 'min_samples_split': 12, 'min_samples_leaf': 3, 'max_features': None, 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
100,RobustScaler,0.8397597761550536,0.8300721062228111,0.8280113235307163,0.8397597761550536,"{'n_estimators': 300, 'criterion': 'log_loss', 'max_depth': 36, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': None, 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
100,QuantileTransformer (Uniform),0.8358697877567733,0.8267314161480105,0.8191048418963889,0.8358697877567733,"{'n_estimators': 350, 'criterion': 'entropy', 'max_depth': 17, 'min_samples_split': 12, 'min_samples_leaf': 3, 'max_features': None, 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
100,QuantileTransformer (Normal),0.8455606360472259,0.8383266310899611,0.8311655953071568,0.8455606360472259,"{'n_estimators': 500, 'criterion': 'gini', 'max_depth': 18, 'min_samples_split': 18, 'min_samples_leaf': 3, 'max_features': None, 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
200,No Scaling,0.8519074592233672,0.8441933394213705,0.8431070187061173,0.8519074592233672,"{'n_estimators': 200, 'criterion': 'entropy', 'max_depth': 45, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
200,MaxAbsScaler,0.8370299597352078,0.8271740812369502,0.8228106642399144,0.8370299597352078,"{'n_estimators': 600, 'criterion': 'gini', 'max_depth': 31, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': None, 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
200,StandardScaler,0.8435132737323415,0.8344732813148659,0.8335869227876459,0.8435132737323415,"{'n_estimators': 300, 'criterion': 'entropy', 'max_depth': 14, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': None, 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
200,MinMaxScaler,0.8370299597352078,0.8274750372629026,0.8219457385958007,0.8370299597352078,"{'n_estimators': 300, 'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': None, 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
200,RobustScaler,0.8396232853340613,0.8299191360299576,0.8291812223108814,0.8396232853340613,"{'n_estimators': 200, 'criterion': 'entropy', 'max_depth': 36, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': None, 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
200,QuantileTransformer (Uniform),0.8370299597352078,0.8271740812369502,0.8228106642399144,0.8370299597352078,"{'n_estimators': 600, 'criterion': 'gini', 'max_depth': 31, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': None, 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
200,QuantileTransformer (Normal),0.8465160717941719,0.8387612714715106,0.8335510507759539,0.8465160717941719,"{'n_estimators': 450, 'criterion': 'gini', 'max_depth': 28, 'min_samples_split': 20, 'min_samples_leaf': 3, 'max_features': None, 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
300,No Scaling,0.8497918514979867,0.8417611598530281,0.840923960598195,0.8497918514979867,"{'n_estimators': 200, 'criterion': 'entropy', 'max_depth': 45, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
300,MaxAbsScaler,0.8367569780932232,0.8268258436109636,0.8225433316255162,0.8367569780932232,"{'n_estimators': 600, 'criterion': 'gini', 'max_depth': 31, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': None, 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
300,StandardScaler,0.8433085375008531,0.8342391405477781,0.8334313997784921,0.8433085375008531,"{'n_estimators': 450, 'criterion': 'entropy', 'max_depth': 24, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': None, 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
300,MinMaxScaler,0.8370299597352078,0.8278604967433538,0.821088528709519,0.8370299597352078,"{'n_estimators': 200, 'criterion': 'entropy', 'max_depth': 18, 'min_samples_split': 6, 'min_samples_leaf': 1, 'max_features': None, 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
300,RobustScaler,0.8401692486180304,0.8305638293962869,0.829839576846281,0.8401692486180304,"{'n_estimators': 250, 'criterion': 'entropy', 'max_depth': 39, 'min_samples_split': 3, 'min_samples_leaf': 4, 'max_features': None, 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
300,QuantileTransformer (Uniform),0.8370299597352078,0.8271740812369502,0.8228106642399144,0.8370299597352078,"{'n_estimators': 600, 'criterion': 'gini', 'max_depth': 31, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': None, 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
300,QuantileTransformer (Normal),0.8459018630997065,0.8380224190609844,0.832843774055372,0.8459018630997065,"{'n_estimators': 200, 'criterion': 'gini', 'max_depth': 37, 'min_samples_split': 18, 'min_samples_leaf': 3, 'max_features': None, 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
400,No Scaling,0.8499283423189791,0.8419155652694521,0.8409519435817573,0.8499283423189791,"{'n_estimators': 200, 'criterion': 'entropy', 'max_depth': 45, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
400,MaxAbsScaler,0.8369617143247117,0.8270762391967087,0.8227805992475832,0.8369617143247117,"{'n_estimators': 600, 'criterion': 'gini', 'max_depth': 31, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': None, 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
400,StandardScaler,0.8435132737323415,0.8344746956950869,0.8336117871732801,0.8435132737323415,"{'n_estimators': 450, 'criterion': 'entropy', 'max_depth': 24, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': None, 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
400,MinMaxScaler,0.8369617143247117,0.8278118490393929,0.8209359603256206,0.8369617143247117,"{'n_estimators': 200, 'criterion': 'entropy', 'max_depth': 19, 'min_samples_split': 6, 'min_samples_leaf': 1, 'max_features': None, 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
400,RobustScaler,0.8394185491025729,0.829686557445621,0.829027507586602,0.8394185491025729,"{'n_estimators': 250, 'criterion': 'entropy', 'max_depth': 39, 'min_samples_split': 3, 'min_samples_leaf': 4, 'max_features': None, 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
400,QuantileTransformer (Uniform),0.8371664505562001,0.8273439523932027,0.8229590640186081,0.8371664505562001,"{'n_estimators': 600, 'criterion': 'gini', 'max_depth': 31, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': None, 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
400,QuantileTransformer (Normal),0.8457653722787143,0.8378797924534553,0.832640667505315,0.8457653722787143,"{'n_estimators': 200, 'criterion': 'gini', 'max_depth': 45, 'min_samples_split': 18, 'min_samples_leaf': 3, 'max_features': None, 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
500,No Scaling,0.8508837780659251,0.8430160355237718,0.842080351616109,0.8508837780659251,"{'n_estimators': 200, 'criterion': 'entropy', 'max_depth': 45, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
