age,workclass,educational-num,occupation,gender,capital-gain,capital-loss,hours-per-week,native-country,income,race_Amer-Indian-Eskimo,race_Asian-Pac-Islander,race_Black,race_Other,race_White
381.0,Private,28.0,Nothing ,1,0.0,0,536.0,1,0,0.0,0.0,1.0,0.0,0.0
560.0,Self-emp-inc,33.0,Machine-op-inspct,1,0.0,0,660.0,1,0,0.0,0.0,0.0,0.0,1.0
423.0,Local-gov,41.0,Protective-serv,1,0.0,0,536.0,1,1,0.0,0.0,0.0,0.0,1.0
642.0,Private,36.0,Machine-op-inspct,1,7688.0,0,536.0,1,1,0.0,0.0,1.0,0.0,0.0
505.0,Private,26.0,Machine-op-inspct,1,0.0,0,412.0,1,0,0.0,0.0,0.0,0.0,1.0
902.0,Self-emp-not-inc,49.0,Prof-specialty,1,3103.0,0,437.0,1,1,0.0,0.0,0.0,0.0,1.0
368.0,Private,36.0,Other-service,0,0.0,0,536.0,1,0,0.0,0.0,0.0,0.0,1.0
793.0,Private,20.0,Machine-op-inspct,1,0.0,0,164.0,1,0,0.0,0.0,0.0,0.0,1.0
930.0,Private,33.0,Machine-op-inspct,1,6418.0,0,536.0,1,1,0.0,0.0,0.0,0.0,1.0
532.0,Federal-gov,44.0,Adm-clerical,1,0.0,0,536.0,1,0,0.0,0.0,0.0,0.0,1.0
395.0,Private,33.0,Adm-clerical,0,0.0,0,524.0,1,0,0.0,0.0,0.0,0.0,1.0
697.0,Self-emp-inc,33.0,Handlers-cleaners,1,3103.0,0,635.0,1,1,0.0,0.0,0.0,0.0,1.0
628.0,Private,46.0,Exec-managerial,1,0.0,0,660.0,1,1,0.0,0.0,0.0,0.0,1.0
313.0,Private,36.0,Priv-house-serv,1,0.0,0,350.0,1,0,0.0,0.0,0.0,0.0,1.0
628.0,Private,33.0,Adm-clerical,0,0.0,0,412.0,1,0,0.0,0.0,0.0,0.0,1.0
546.0,Private,33.0,Machine-op-inspct,0,0.0,0,288.0,1,0,0.0,0.0,0.0,0.0,1.0
587.0,Private,51.0,Prof-specialty,1,0.0,0,598.0,0,1,0.0,1.0,0.0,0.0,0.0
505.0,Private,44.0,Priv-house-serv,1,0.0,0,623.0,1,1,0.0,0.0,0.0,0.0,1.0
505.0,Private,36.0,Other-service,0,0.0,0,474.0,1,0,0.0,0.0,1.0,0.0,0.0
381.0,Private,44.0,Prof-specialty,1,0.0,0,573.0,0,0,0.0,0.0,0.0,0.0,1.0
381.0,Private,44.0,Prof-specialty,1,0.0,0,536.0,1,0,0.0,0.0,0.0,0.0,1.0
656.0,Self-emp-not-inc,33.0,Craft-repair,1,7298.0,0,1156.0,1,1,0.0,0.0,0.0,0.0,1.0
340.0,Private,33.0,Adm-clerical,1,0.0,0,288.0,1,0,0.0,0.0,0.0,0.0,1.0
354.0,Private,33.0,Nothing ,1,0.0,0,710.0,1,0,0.0,0.0,1.0,0.0,0.0
779.0,Private,33.0,Craft-repair,1,0.0,0,474.0,1,0,0.0,0.0,0.0,0.0,1.0
477.0,Self-emp-not-inc,36.0,Prof-specialty,1,0.0,0,784.0,1,0,0.0,0.0,0.0,0.0,1.0
669.0,State-gov,36.0,Exec-managerial,1,7688.0,0,511.0,1,1,0.0,0.0,1.0,0.0,0.0
806.0,Self-emp-not-inc,28.0,Other-service,0,0.0,0,660.0,1,0,0.0,0.0,0.0,0.0,1.0
368.0,Self-emp-not-inc,44.0,Sales,1,0.0,0,660.0,1,0,0.0,0.0,0.0,0.0,1.0
354.0,Local-gov,36.0,Protective-serv,1,0.0,0,536.0,1,0,0.0,0.0,0.0,0.0,1.0
395.0,Private,33.0,Farming-fishing,0,0.0,0,536.0,1,0,0.0,0.0,0.0,0.0,1.0
532.0,Local-gov,44.0,Prof-specialty,1,0.0,0,536.0,1,1,0.0,0.0,0.0,0.0,1.0
340.0,Private,18.0,Priv-house-serv,1,0.0,0,660.0,0,0,0.0,0.0,0.0,0.0,1.0
272.0,Private,26.0,Handlers-cleaners,1,0.0,0,536.0,1,0,0.0,0.0,0.0,0.0,1.0
313.0,Private,33.0,Nothing ,1,0.0,0,536.0,1,0,0.0,0.0,0.0,0.0,1.0
930.0,Private,46.0,Prof-specialty,1,0.0,0,660.0,1,1,0.0,0.0,0.0,0.0,1.0
642.0,Self-emp-inc,38.0,Sales,1,0.0,0,598.0,1,1,0.0,0.0,0.0,0.0,1.0
532.0,Private,33.0,Farming-fishing,1,0.0,0,536.0,1,0,0.0,0.0,0.0,0.0,1.0
436.0,Private,28.0,Other-service,1,0.0,0,536.0,1,0,0.0,0.0,0.0,0.0,1.0
313.0,State-gov,36.0,Farming-fishing,1,0.0,0,437.0,1,0,0.0,0.0,0.0,0.0,1.0
423.0,Private,38.0,Handlers-cleaners,0,0.0,0,487.0,1,1,0.0,0.0,0.0,0.0,1.0
573.0,Private,20.0,Craft-repair,1,0.0,0,536.0,0,0,0.0,0.0,0.0,0.0,1.0
779.0,Private,36.0,Transport-moving,1,3908.0,0,660.0,1,0,0.0,0.0,0.0,0.0,1.0
752.0,Private,28.0,Nothing ,0,0.0,0,263.0,1,0,0.0,0.0,1.0,0.0,0.0
806.0,Self-emp-inc,33.0,Exec-managerial,0,0.0,0,660.0,1,0,0.0,0.0,0.0,0.0,1.0
285.0,Private,36.0,Other-service,1,0.0,0,288.0,1,0,0.0,0.0,0.0,0.0,1.0
573.0,Private,33.0,Handlers-cleaners,1,0.0,0,536.0,1,0,0.0,0.0,1.0,0.0,0.0
327.0,Private,36.0,Other-service,0,0.0,1721,338.0,1,0,0.0,0.0,0.0,0.0,1.0
340.0,Private,33.0,Other-service,1,14084.0,0,784.0,1,1,0.0,0.0,0.0,0.0,1.0
560.0,Self-emp-inc,23.0,Priv-house-serv,1,0.0,0,710.0,0,0,0.0,0.0,0.0,0.0,1.0
327.0,Private,36.0,Adm-clerical,0,0.0,0,536.0,1,0,0.0,0.0,0.0,0.0,1.0
902.0,Private,33.0,Craft-repair,1,0.0,0,536.0,1,0,0.0,0.0,0.0,0.0,1.0
505.0,Private,44.0,Nothing ,1,3103.0,0,660.0,1,1,0.0,0.0,0.0,0.0,1.0
614.0,Self-emp-inc,33.0,Exec-managerial,1,5178.0,0,660.0,1,1,0.0,0.0,0.0,0.0,1.0
491.0,Private,33.0,Handlers-cleaners,1,0.0,0,536.0,1,0,0.0,0.0,0.0,0.0,1.0
450.0,Private,44.0,Exec-managerial,0,0.0,0,660.0,1,0,0.0,0.0,0.0,0.0,1.0
573.0,Private,36.0,Sales,1,0.0,0,536.0,1,0,0.0,0.0,0.0,0.0,1.0
395.0,Private,46.0,Exec-managerial,0,0.0,0,536.0,1,0,0.0,0.0,0.0,0.0,1.0
491.0,Private,33.0,Machine-op-inspct,0,0.0,0,536.0,1,0,0.0,0.0,0.0,0.0,1.0
683.0,Local-gov,33.0,Adm-clerical,0,0.0,0,536.0,1,0,0.0,0.0,0.0,0.0,1.0
601.0,Private,44.0,Other-service,0,0.0,0,536.0,0,0,0.0,0.0,0.0,0.0,1.0
601.0,Self-emp-inc,41.0,Other-service,1,15024.0,0,784.0,1,1,0.0,0.0,0.0,0.0,1.0
299.0,Private,36.0,Other-service,1,0.0,0,288.0,1,0,0.0,0.0,0.0,0.0,1.0
669.0,Private,33.0,Transport-moving,1,0.0,0,536.0,1,0,0.0,0.0,0.0,0.0,1.0
628.0,Private,33.0,Sales,1,0.0,0,635.0,1,0,0.0,0.0,0.0,0.0,1.0
793.0,Private,36.0,Exec-managerial,1,15024.0,0,598.0,1,1,0.0,0.0,0.0,0.0,1.0
669.0,Private,38.0,Tech-support,1,0.0,0,536.0,1,0,0.0,0.0,0.0,0.0,1.0
450.0,Private,33.0,Machine-op-inspct,1,0.0,0,536.0,0,0,0.0,0.0,0.0,0.0,1.0
327.0,Private,36.0,Handlers-cleaners,0,0.0,0,536.0,1,0,0.0,0.0,0.0,0.0,1.0
669.0,Never-worked,36.0,Handlers-cleaners,1,0.0,0,536.0,0,0,0.0,0.0,0.0,1.0,0.0
601.0,Self-emp-inc,33.0,Other-service,1,0.0,0,660.0,1,0,0.0,0.0,0.0,0.0,1.0
985.0,Self-emp-inc,33.0,Other-service,1,0.0,0,412.0,1,0,0.0,0.0,0.0,0.0,1.0
724.0,Private,33.0,Transport-moving,1,0.0,0,536.0,1,0,0.0,0.0,0.0,0.0,1.0
313.0,Private,36.0,Adm-clerical,0,0.0,0,536.0,1,0,0.0,0.0,0.0,0.0,1.0
656.0,Self-emp-inc,36.0,Machine-op-inspct,1,0.0,0,660.0,1,0,0.0,0.0,0.0,0.0,1.0
354.0,Private,44.0,Machine-op-inspct,1,0.0,0,536.0,1,0,0.0,0.0,0.0,0.0,1.0
368.0,Private,36.0,Other-service,1,0.0,1876,536.0,1,0,0.0,0.0,0.0,0.0,1.0
464.0,Self-emp-not-inc,36.0,Craft-repair,1,0.0,0,660.0,1,0,0.0,0.0,0.0,0.0,1.0
628.0,Private,33.0,Machine-op-inspct,0,0.0,0,586.0,1,0,0.0,0.0,0.0,0.0,1.0
313.0,Federal-gov,28.0,Other-service,0,0.0,0,164.0,1,0,0.0,0.0,0.0,0.0,1.0
793.0,Private,33.0,Sales,1,0.0,0,734.0,1,1,0.0,0.0,0.0,0.0,1.0
368.0,Federal-gov,36.0,Armed-Forces,1,0.0,0,536.0,1,0,0.0,0.0,0.0,0.0,1.0
848.0,Private,44.0,Exec-managerial,0,0.0,0,350.0,1,0,0.0,0.0,0.0,0.0,1.0
710.0,Self-emp-inc,20.0,Nothing ,1,0.0,0,288.0,1,0,0.0,0.0,1.0,0.0,0.0
491.0,Private,46.0,Prof-specialty,0,5178.0,0,164.0,1,1,0.0,0.0,0.0,0.0,1.0
848.0,Federal-gov,44.0,Adm-clerical,1,0.0,0,536.0,1,0,0.0,0.0,0.0,0.0,1.0
505.0,Private,46.0,Machine-op-inspct,1,0.0,0,536.0,1,0,1.0,0.0,0.0,0.0,0.0
313.0,Private,33.0,Handlers-cleaners,1,0.0,0,536.0,1,0,0.0,0.0,0.0,0.0,1.0
381.0,Private,44.0,Exec-managerial,0,0.0,0,536.0,1,0,0.0,0.0,0.0,0.0,1.0
710.0,Private,26.0,Farming-fishing,1,0.0,0,536.0,1,0,0.0,0.0,0.0,0.0,1.0
848.0,Private,33.0,Transport-moving,1,0.0,0,536.0,1,1,0.0,0.0,0.0,0.0,1.0
313.0,Private,33.0,Adm-clerical,0,0.0,0,536.0,1,0,0.0,0.0,0.0,0.0,1.0
491.0,Private,36.0,Adm-clerical,0,0.0,0,474.0,1,0,0.0,0.0,1.0,0.0,0.0
340.0,Private,36.0,Transport-moving,1,0.0,0,524.0,1,0,0.0,0.0,1.0,0.0,0.0
834.0,Self-emp-not-inc,23.0,Other-service,0,0.0,0,536.0,1,0,0.0,0.0,0.0,0.0,1.0
752.0,Local-gov,33.0,Adm-clerical,0,0.0,0,387.0,1,0,0.0,0.0,0.0,0.0,1.0
532.0,Private,26.0,Nothing ,0,0.0,0,536.0,1,0,0.0,0.0,0.0,0.0,1.0
601.0,Local-gov,33.0,Protective-serv,1,0.0,0,536.0,1,0,0.0,0.0,0.0,0.0,1.0
423.0,Private,33.0,Farming-fishing,1,2597.0,0,536.0,1,0,0.0,0.0,0.0,0.0,1.0
299.0,Private,36.0,Handlers-cleaners,1,0.0,0,239.0,1,0,0.0,0.0,1.0,0.0,0.0
285.0,Private,33.0,Other-service,0,0.0,0,387.0,1,0,0.0,0.0,0.0,0.0,1.0
285.0,Private,33.0,Machine-op-inspct,0,0.0,0,635.0,1,0,0.0,0.0,0.0,0.0,1.0
423.0,Private,36.0,Craft-repair,1,0.0,0,536.0,1,0,0.0,0.0,0.0,0.0,1.0
436.0,Never-worked,38.0,Exec-managerial,1,0.0,0,536.0,1,1,0.0,0.0,0.0,0.0,1.0
587.0,Private,36.0,Handlers-cleaners,1,0.0,0,536.0,1,0,0.0,0.0,0.0,0.0,1.0
395.0,Private,33.0,Handlers-cleaners,1,0.0,0,536.0,1,0,0.0,0.0,0.0,0.0,1.0
669.0,Private,33.0,Craft-repair,1,0.0,0,536.0,1,0,0.0,0.0,0.0,0.0,1.0
354.0,Private,28.0,Priv-house-serv,0,0.0,0,338.0,1,0,0.0,0.0,0.0,0.0,1.0
642.0,Private,33.0,Exec-managerial,0,0.0,0,536.0,1,0,0.0,0.0,0.0,0.0,1.0
628.0,Private,44.0,Priv-house-serv,0,0.0,0,536.0,1,1,0.0,0.0,0.0,0.0,1.0
464.0,Private,44.0,Machine-op-inspct,0,0.0,0,784.0,1,0,0.0,0.0,0.0,0.0,1.0
